A,65
B,66
C,67
D,68
E,69
F,70
G,71
H,72
I,73
J,74
K,75
L,76
M,77
N,78
O,79
P,80
Q,81
R,82
S,83
T,84
U,85
V,86
W,87
X,88
Y,89
Z,90

ENTER,13
SPACE,32
TAB,9
ESCAPE,27
BACKSPACE,8

SHIFT,16
CTRL,17
ALT,18
CAPS_LOCK,20
NUM_LOCK,144

0,48
1,49
2,50
3,51
4,52
5,53
6,54
7,55
8,56
9,57

SEMICOLON,59
EQUALS,61
COMMA,188
DASH,109
PERIOD,190
SLASH,191
BACK_QUOTE,192
OPEN_BRACKET,219
BACK_SLASH,220
CLOSE_BRACKET,221
QUOTE,222

LEFT,37
UP,38
RIGHT,39
DOWN,40

INSERT,45
DELETE,46
HOME,36
END,35
PAGE_UP,33
PAGE_DOWN,34

F1,112
F2,113
F3,114
F4,115
F5,116
F6,117
F7,118
F8,119
F9,120
F10,121
F11,122
F12,123

NUMPAD_0,96
NUMPAD_1,97
NUMPAD_2,98
NUMPAD_3,99
NUMPAD_4,100
NUMPAD_5,101
NUMPAD_6,102
NUMPAD_7,103
NUMPAD_8,104
NUMPAD_9,105
NUMPAD_MULTIPLY,106
NUMPAD_ADD,107
NUMPAD_SUBTRACT,109
NUMPAD_DECIMAL,110
NUMPAD_DIVIDE,111

LEFT_WINDOWS,91
RIGHT_WINDOWS,92
LEFT_APPLE,224
